11,"41.072014,-73.768624",http://www.nynjtc.org/hike/bronx-river-parkway,Bronx River Parkway Reservation,Bronx River Pathway,Westchester County,NY,9.8 miles,Easy,Allowed on leash,ViewsPublic Transportation,47150,2541,49025,10478,41713,31228,2014-11-21 17:18:50.080895,2014-11-25 01:39:50.077316,41.072014,-73.768624,,56302,3258,205129,7940,,,,,,,,
12,"41.18253,-73.686934",http://www.nynjtc.org/hike/butler-memorial-sanctuary-mt-kisco-ny,Butler Memorial Sanctuary,"Butler Memorial Sanctuary (Mt. Kisco, NY)",Westchester County,NY,3.5 miles,Easy to Moderate,Allowed on leash,Views,69181,3328,66831,14762,58035,43987,2014-11-21 17:18:50.082255,2014-11-25 01:39:50.08063,41.18253,-73.686934,,77841,3847,198809,7624,,,,,,,,
13,"41.087131,-73.94744",http://www.nynjtc.org/hike/buttermilk-falls-county-park,Buttermilk Falls County Park,Buttermilk Falls  in Rockland County,Rockland County,NY,1.2 miles,Easy to Moderate,Allowed on leash,ViewsWaterfall,43298,2393,45532,9745,42598,31560,2014-11-21 17:18:50.083557,2014-11-25 01:39:50.082611,41.087131,-73.94744,,51814,3127,207930,7419,,,,,,,,
14,"41.087131,-73.94744",http://www.nynjtc.org/hike/buttermilk-falls-and-long-path-rockland-county,Buttermilk Falls County Park,Buttermilk Falls and Long Path in Rockland County,Rockland County,NY,4 miles,Moderate,Allowed on leash,ViewsWaterfall,43298,2393,45532,9745,42598,31560,2014-11-21 17:18:50.084907,2014-11-25 01:39:50.08396,41.087131,-73.94744,,51814,3127,207930,7419,,,,,,,,
15,"41.994457,-74.940834",http://www.nynjtc.org/hike/mud-pondtrout-pond-loop,Catskill Park,Mud Pond/Trout Pond Loop,Catskills,NY,4.8 miles,Moderate,Allowed off leash,Swimming,199997,8138,206672,47605,191098,143626,2014-11-21 17:18:50.086182,2014-11-25 01:39:50.085266,41.994457,-74.940834,,207273,8784,197582,8193,,,,,,,,
16,"42.18478,-74.27178",http://www.nynjtc.org/hike/hunter-mountain-fire-tower,Catskill Park,Hunter Mountain Fire Tower,Catskills,NY,8 miles,Strenuous,Allowed off leash,ViewsHistoric feature,219870,9505,248966,53088,211126,157055,2014-11-21 17:18:50.087512,2014-11-25 01:39:50.086494,42.18478,-74.27178,,227146,10150,111696,5986,,,,,,,,
17,"42.010928,-74.422371",http://www.nynjtc.org/hike/slide-mountain-highest-peak-catskills-loop,Catskill Park,Slide Mountain (Highest Peak in Catskills)  Loop,Catskills,NY,6.8 miles,Strenuous,Allowed off leash,Views,209288,9109,245758,53325,184484,138879,2014-11-21 17:18:50.08879,2014-11-25 01:39:50.087702,42.010928,-74.422371,,216564,9754,137669,6702,,,,,,,,
18,"42.140337,-74.212239",http://www.nynjtc.org/hike/plateau-mountain-warner-creek-trail,Catskill Park,Plateau Mountain Via Warner Creek Trail,Catskills,NY,8 miles,Strenuous,Allowed off leash,Views,203110,8487,229967,48865,193197,143429,2014-11-21 17:18:50.0901,2014-11-25 01:39:50.088835,42.140337,-74.212239,,210386,9132,93845,4683,,,,,,,,
19,"42.200662,-74.058473",http://www.nynjtc.org/hike/catskill-escarpment-trail,Catskill Park,Catskill Escarpment Loop (South) from Scutt Road (North/South Lake),Catskills,NY,4.7 miles,Moderate,Allowed on leash,ViewsSwimmingHistoric feature,192829,7878,220270,48275,190618,144402,2014-11-21 17:18:50.091323,2014-11-25 01:39:50.089981,42.200662,-74.058473,,200105,8523,83564,4075,,,,,,,,
20,"42.200662,-74.058473",http://www.nynjtc.org/hike/northsouth-lakeescarpment-trail-loop-hike,Catskill Park,North-South Lake/Escarpment Trail Loop Hike,Catskills,NY,10.3 miles,Moderate to Strenuous,Allowed on leash,ViewsHistoric feature,192829,7878,220270,48275,190618,144402,2014-11-21 17:18:50.092583,2014-11-25 01:39:50.091191,42.200662,-74.058473,,200105,8523,83564,4075,,,,,,,,
21,"42.097044,-74.51005",http://www.nynjtc.org/hike/balsam-mountain-catskill-high-peak,Catskill Park,Balsam Mountain Catskill High Peak,Catskills,NY,5.2 miles,Strenuous,Allowed off leash,Views,221099,9379,250194,54319,212469,158456,2014-11-21 17:18:50.09382,2014-11-25 01:39:50.09247,42.097044,-74.51005,,228375,10024,142802,6414,,,,,,,,
22,"42.296441,-74.169152",http://www.nynjtc.org/hike/windham-high-peak,Catskill Park,Windham High Peak,Catskills,NY,6.4 miles,Strenuous,Allowed off leash,Views,208346,9071,235787,52072,206135,156024,2014-11-21 17:18:50.095135,2014-11-25 01:39:50.093915,42.296441,-74.169152,,215622,9716,83050,4207,,,,,,,,
